region,total_tCO2e,year,scope,country,group,group_label,population,per_capita_tCO2e,share_of_scope_total_percent
PL,27277537.57376254,2022,core_livestock_meat_dairy,Poland,GN,Global North,36821749.0,0.7407996174696249,1.3799910210798565
PT,6521835.913782231,2022,core_livestock_meat_dairy,Portugal,GN,Global North,10434332.0,0.6250362662202267,0.32994455520913757
RO,14229965.685832437,2022,core_livestock_meat_dairy,Romania,GN,Global North,19048502.0,0.7470385695333123,0.7199046036916358
RU,52184612.811397165,2022,core_livestock_meat_dairy,Russian Federation,GS,Global South (ex-China),144236933.0,0.36179785389222857,2.6400585801969667
SE,9244031.146827098,2022,core_livestock_meat_dairy,Sweden,GN,Global North,10486941.0,0.8814802282979467,0.46766244741512875
SI,1026668.4059558251,2022,core_livestock_meat_dairy,Slovenia,GN,Global North,2112076.0,0.48609444260330836,0.05193992229005962
SK,1934687.9492284684,2022,core_livestock_meat_dairy,Slovak Republic,GN,Global North,5431752.0,0.3561812006933432,0.09787730990405599
TW,8336728.484070065,2022,core_livestock_meat_dairy,"Taiwan, China",GN,Global North,23264000.0,0.3583531844940709,0.42176132732242366
US,325095590.8902603,2022,core_livestock_meat_dairy,United States,GN,Global North,334017321.0,0.9732896183855695,16.446829014827667
ZA,8901241.080949267,2022,core_livestock_meat_dairy,South Africa,GS,Global South (ex-China),62378410.0,0.14269746665471703,0.45032044168064533
AT,3204420.6310244575,2022,old_scope_including_fish,Austria,GN,Global North,9041851.0,0.3543987432467597,0.13037838978917146
AU,26021289.37137964,2022,old_scope_including_fish,Australia,GN,Global North,26014399.0,1.000264867598119,1.058729236615212
BE,6719724.192593678,2022,old_scope_including_fish,Belgium,GN,Global North,11680210.0,0.57530850837388,0.2734056857503166
BG,2951200.8698832635,2022,old_scope_including_fish,Bulgaria,GN,Global North,6465097.0,0.4564820713259621,0.12007562728641205
BR,226541906.89331257,2022,old_scope_including_fish,Brazil,GS,Global South (ex-China),210306415.0,1.0771992233014507,9.217319584874769
CA,40967620.981256805,2022,old_scope_including_fish,Canada,GN,Global North,38935934.0,1.052180255423096,1.6668512258709685
CH,3527366.7913710033,2022,old_scope_including_fish,Switzerland,GN,Global North,8777088.0,0.4018834938616319,0.14351811307235265
CN,959757919.6086287,2022,old_scope_including_fish,China,CN,China,1412175000.0,0.679631008627563,39.04970868508399
CY,571222.4529623317,2022,old_scope_including_fish,Cyprus,GN,Global North,1331370.0,0.4290486138055775,0.023241350685237527
CZ,7188642.323597185,2022,old_scope_including_fish,Czechia,GN,Global North,10672118.0,0.6735909707517463,0.2924845764150667
DE,59530074.21564384,2022,old_scope_including_fish,Germany,GN,Global North,83797985.0,0.7103998290131182,2.422102499628514
DK,2592486.4512572405,2022,old_scope_including_fish,Denmark,GN,Global North,5903037.0,0.43917841803418145,0.1054805994546047
EE,472137.25145216036,2022,old_scope_including_fish,Estonia,GN,Global North,1348840.0,0.3500320656654313,0.019209867146604324
ES,14241915.532143507,2022,old_scope_including_fish,Spain,GN,Global North,47786102.0,0.2980346782029534,0.5794613842567317
FI,4022839.757822506,2022,old_scope_including_fish,Finland,GN,Global North,5556106.0,0.7240394185824579,0.1636774413841788
FR,54867517.817059405,2022,old_scope_including_fish,France,GN,Global North,68065015.0,0.8061045430910344,2.232396881813199
GB,39134759.15162058,2022,old_scope_including_fish,United Kingdom,GN,Global North,67604000.0,0.5788823021066887,1.592277503638501
GR,7968926.448247182,2022,old_scope_including_fish,Greece,GN,Global North,10436882.0,0.7635351677107379,0.32423202765944215
HR,551615.4028919443,2022,old_scope_including_fish,Croatia,GN,Global North,3855641.0,0.14306710684214227,0.022443597858426055
HU,2824638.6560503147,2022,old_scope_including_fish,Hungary,GN,Global North,9605074.0,0.2940777609886519,0.11492618545348474
ID,78313959.27114743,2022,old_scope_including_fish,Indonesia,GS,Global South (ex-China),278830529.0,0.28086579884926244,3.1863631787074924
