year,group,group_label,population,total_tCO2e,per_capita_tCO2e
2020,GN,Global North,1124546446.0,803584160.1954129,0.7145851227877278
2020,CN,China,1411100000.0,579410975.7681193,0.4106094364454109
2020,GS,Global South (ex-China),2218699986.0,669378084.4120475,0.30169833174193184
2021,GN,Global North,1124159392.0,763384689.8053088,0.6790715758262409
2021,CN,China,1412360000.0,637972975.2575942,0.45170705433288555
2021,GS,Global South (ex-China),2234409756.0,559112466.0780398,0.25022826031647516
2022,GN,Global North,1128570830.0,790151820.7286832,0.7001348960336705
2022,CN,China,1412175000.0,628515814.1695958,0.44506935342262527
2022,GS,Global South (ex-China),2249788616.0,568301554.6678505,0.25260220032505065
