Commodity,LUC_livestock_MtCO2
"Cattle and buffalo meat, plus associated co-products",3266.941140492836
Maize (corn),38.508307748745025
Soya beans,20.734468408881845
Sorghum,13.464348467961555
Sunflower seed,0.7801034924815159
Barley,0.03688616017052011
