Year,Consumer country,LUC_livestock_MtCO2
2018,Brazil,672.9513342077587
2018,RoW America,239.57347775096505
2018,RoW Africa,165.7127707753149
2018,China,99.54249422544228
2018,RoW Asia and Pacific,85.50939924822151
2018,United States,46.736992673209286
2018,RoW Middle East,43.3601042644646
2018,Indonesia,26.353264049392344
2018,México,14.236541325993308
2018,India,12.981059374260688
2018,Russia,11.823113650723535
2018,Germany,10.978367930043907
2018,Italy,9.79431457876563
2018,France,9.76504034898558
2018,Japan,9.40976348073018
2018,UK and RoW Europe,8.918904556565453
2018,Taiwan,7.406102980592408
2018,Spain,7.115998185621793
2018,Canada,5.497909542142061
2018,South Africa,5.210679599015675
2018,Republic of Korea,5.1704024382027844
2018,Australia,5.109165477779959
2018,Netherlands,4.064795485235454
2018,Turkey,3.1747210176456666
2018,Belgium,3.0439966951682953
2018,Poland,1.867547578041008
2018,Norway,1.6612657434227198
2018,Portugal,1.3114281633588476
2018,Switzerland,1.2816990038940728
2018,Sweden,1.2532092467806393
2018,Ireland,1.0108044049039069
2018,Denmark,0.8803946818029009
2018,Austria,0.8624119312555458
2018,Hungary,0.6912424871004067
2018,Greece,0.6537732979672355
2018,Finland,0.5591309722982679
2018,Czechia,0.5245941555651457
2018,Romania,0.503240196083353
2018,Luxembourg,0.45883165828751776
2018,Slovakia,0.25389841718872147
2018,Slovenia,0.21415626948135905
2018,Estonia,0.191710997501891
2018,Bulgaria,0.16493939282974057
2018,Croatia,0.15969840395468324
2018,Lithuania,0.1493852295564471
2018,Malta,0.08378902667308231
2018,Latvia,0.08324737183293181
2018,Cyprus,0.06938742504503755
2019,Brazil,706.6394283746173
2019,RoW America,234.5021721091673
2019,RoW Africa,172.55918862431986
2019,RoW Asia and Pacific,86.98234724319293
2019,China,86.91152614926868
2019,United States,48.01741036907385
2019,RoW Middle East,41.819860978620135
2019,Indonesia,19.63046208138567
2019,México,16.56096365535738
2019,India,12.391877523888137
2019,Russia,11.77095844824921
2019,France,9.79668772606988
2019,Germany,9.753643424302739
2019,Japan,8.971128796483312
2019,UK and RoW Europe,8.916784237662641
2019,Italy,8.537326285007428
2019,Republic of Korea,7.139420521876702
2019,Taiwan,6.500432062087182
2019,Spain,6.1471054466748045
2019,Canada,6.078201718738036
2019,South Africa,5.333588862540147
2019,Australia,4.852289197245191
2019,Netherlands,3.7366190812958546
2019,Belgium,2.7249027270598387
2019,Turkey,2.692330072436205
2019,Poland,1.768553729074814
2019,Norway,1.6956815296187187
2019,Portugal,1.2480343949208705
2019,Ireland,1.2433399293521614
2019,Sweden,1.1658512741431157
2019,Switzerland,1.1636609454341522
2019,Denmark,0.8591465628382056
2019,Austria,0.7915589355452711
2019,Hungary,0.640803043195474
2019,Greece,0.6170796980174758
2019,Czechia,0.5501335972974314
2019,Finland,0.5458466457848141
2019,Romania,0.4792904608063388
2019,Luxembourg,0.42705808996623773
2019,Slovenia,0.22689404296234
2019,Slovakia,0.22126627462402657
2019,Croatia,0.15830788144992072
2019,Bulgaria,0.15479003231299804
2019,Estonia,0.14453337337689404
2019,Lithuania,0.14355326081309674
2019,Latvia,0.07744033017698532
2019,Malta,0.06934920497332801
2019,Cyprus,0.06622198806389201
2020,Brazil,704.4681155318555
2020,RoW America,224.85980629967887
2020,RoW Africa,176.673335329272
2020,China,111.92432109895873
2020,RoW Asia and Pacific,69.20012609878803
2020,RoW Middle East,56.16074247325646
2020,United States,54.49332197590988
2020,Indonesia,24.579790563249905
2020,México,17.12692426699797
2020,India,14.419948490235878
2020,Russia,12.910137801844584
2020,Germany,12.174390157643987
2020,France,10.514008493693852
2020,Japan,10.129494146870188
2020,UK and RoW Europe,9.843600083885596
2020,Italy,9.012604025939803
2020,Taiwan,8.726390411314135
2020,Spain,6.730066800656881
2020,Canada,6.389972083764428
2020,South Africa,6.018137814632715
2020,Republic of Korea,5.748247363216101
2020,Australia,5.2253296143664585
2020,Netherlands,4.6030237410893635
2020,Turkey,3.538552851325464
2020,Belgium,3.5312939933823366
2020,Poland,2.0243531374344035
2020,Norway,1.8827306380236182
2020,Ireland,1.5064386894431103
2020,Sweden,1.3787832882669933
2020,Switzerland,1.2779349329383292
2020,Portugal,1.1354815578608235
2020,Austria,0.903580837781585
2020,Denmark,0.8992893003223552
2020,Hungary,0.8105237148455773
2020,Greece,0.7169154058477134
2020,Czechia,0.710360052499205
2020,Finland,0.6321519907178905
2020,Luxembourg,0.573613198110158
2020,Romania,0.5710723653593296
2020,Slovakia,0.2679078116276091
2020,Slovenia,0.1985937059602422
2020,Estonia,0.1748722840138166
2020,Bulgaria,0.17211027220408948
2020,Croatia,0.16333431772983076
2020,Lithuania,0.16234116147341646
2020,Malta,0.08393055716079825
2020,Latvia,0.08168523141349936
2020,Cyprus,0.07724369130279628
2021,Brazil,685.7777537700359
2021,RoW America,197.80722205798406
2021,RoW Africa,176.46773933638033
2021,China,92.13886976939119
2021,RoW Asia and Pacific,61.289889468366
2021,United States,51.06979260740703
2021,RoW Middle East,43.238167732510014
2021,Indonesia,25.790032590696338
2021,México,19.615271374334082
2021,India,14.039034098264514
2021,Russia,12.417622339845325
2021,Germany,11.613216471839653
2021,France,9.415271636661512
2021,UK and RoW Europe,9.121013440481684
2021,Japan,9.079909664965896
2021,Italy,8.614009902016273
2021,Spain,6.978987236007552
2021,Canada,6.404131844036574
2021,Taiwan,6.027976888760962
2021,South Africa,5.839673325478281
2021,Republic of Korea,5.4814405260026575
2021,Australia,4.159800501747488
2021,Netherlands,4.081160903975856
2021,Belgium,3.23512883076874
2021,Turkey,3.185953555910805
2021,Norway,2.0374795272438293
2021,Ireland,1.9661893937854873
2021,Poland,1.8878773262927318
2021,Switzerland,1.5870584129182006
2021,Sweden,1.3642603717239767
2021,Portugal,1.2491741707106858
2021,Austria,0.9588573825753856
2021,Hungary,0.8587101676642529
2021,Denmark,0.8386907967124381
2021,Czechia,0.8037407532355045
2021,Finland,0.7184399677793288
2021,Greece,0.6909707260991783
2021,Romania,0.6297899670119732
2021,Luxembourg,0.5322249930592226
2021,Slovakia,0.38828108855705445
2021,Slovenia,0.2500493221232831
2021,Croatia,0.22821395332310004
2021,Bulgaria,0.21714174929231758
2021,Lithuania,0.18196021087818173
2021,Estonia,0.17740835403596036
2021,Latvia,0.10219989933602272
2021,Malta,0.0774699778187457
2021,Cyprus,0.021091413199274888
2022,Brazil,593.6355419168675
2022,RoW America,189.29400131245706
2022,RoW Africa,175.39183050420718
2022,China,90.45211801479785
2022,RoW Asia and Pacific,72.61083090020941
2022,RoW Middle East,46.34520956832343
2022,United States,43.79246406549916
2022,Indonesia,24.809857037696442
2022,México,19.753134515781333
2022,India,12.629208298883224
2022,Russia,11.839004401209023
2022,Germany,10.348520822554008
2022,Japan,9.673577034196217
2022,France,9.082671161789117
2022,UK and RoW Europe,9.043353074577972
2022,Italy,8.589484893440483
2022,Spain,8.063183013286974
2022,Taiwan,7.581613863392529
2022,Republic of Korea,7.1603980451629115
2022,Canada,6.252213194247112
2022,South Africa,5.330553062081398
2022,Australia,4.081829878196679
2022,Netherlands,3.767216081869589
2022,Turkey,3.3392372501530496
2022,Belgium,2.951765751454069
2022,Norway,2.099559486611378
2022,Ireland,1.8850419009914714
2022,Poland,1.8473758624250027
2022,Switzerland,1.520804483483755
2022,Sweden,1.500776014291977
2022,Portugal,1.4831172689605339
2022,Austria,1.0238502905611537
2022,Hungary,0.9707131756316659
2022,Czechia,0.9429406248080299
2022,Denmark,0.930965443186332
2022,Greece,0.7857010714159025
2022,Finland,0.7836179133374486
2022,Romania,0.7724501169687004
2022,Luxembourg,0.5780431949000993
2022,Slovakia,0.5135178969214143
2022,Slovenia,0.41530580436227527
2022,Croatia,0.3930631639191648
2022,Lithuania,0.34918105781941317
2022,Estonia,0.3274406541423688
2022,Bulgaria,0.2828965052436754
2022,Latvia,0.20621991872684706
2022,Malta,0.11662328203554578
2022,Cyprus,0.04437936161590868
