Commodity_std,component,LUC_livestock_MtCO2,share_percent
RUMINANT_MEAT,Pasture,6602.570339063449,87.52764678460389
Maize,Feed,445.44450829097536,5.90508053404009
Soybeans,Feed,359.40425909967934,4.764479199447827
Sorghum,Feed,88.08418152627895,1.1676969319552426
Sunflower seed,Feed,33.68302734517346,0.4465224857449512
Barley,Feed,11.576224236445869,0.15346139670368575
Rapeseed,Feed,2.648692904539034,0.03511266750431377
