Year,component,LUC_livestock_MtCO2
2018,Feed,211.14766059507906
2018,Pasture,1317.1828393219873
2019,Feed,188.26545475414355
2019,Pasture,1355.1595961872256
2020,Feed,175.59023199091445
2020,Pasture,1409.816697663252
2021,Feed,164.44862224304333
2021,Pasture,1326.2077275562015
2022,Feed,201.38892381991158
2022,Pasture,1194.2034783347822
