Year,LUC_livestock_MtCO2,Cumulative_LUC_MtCO2
2018,1528.3304999170664,1528.3304999170664
2019,1543.4250509413691,3071.7555508584355
2020,1585.4069296541663,4657.162480512602
2021,1490.656349799245,6147.818830311847
2022,1395.592402154694,7543.41123246654
