Producer country original,Producer country clean,producer_group_optional
Morocco,Morocco,Global South / other
Mozambique,Mozambique,Global South / other
Myanmar,Myanmar,Global South / other
México,México,Global South / other
Namibia,Namibia,Global South / other
Nepal,Nepal,Global South / other
New Caledonia,New Caledonia,Global South / other
Nicaragua,Nicaragua,Global South / other
Nigeria,Nigeria,Global South / other
North Korea,North Korea,Global South / other
North Macedonia,North Macedonia,Global South / other
Pakistan,Pakistan,Global South / other
Palestine,Palestine,Global South / other
Panama,Panama,Global South / other
Papua New Guinea,Papua New Guinea,Global South / other
Paraguay,Paraguay,Global South / other
Peru,Peru,Global South / other
Philippines,Philippines,Global South / other
Puerto Rico,Puerto Rico,Global South / other
Republic of the Congo,Republic of the Congo,Global South / other
Russia,Russia,Global South / other
Rwanda,Rwanda,Global South / other
Saint Kitts and Nevis,Saint Kitts and Nevis,Global South / other
Saint Lucia,Saint Lucia,Global South / other
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Global South / other
Senegal,Senegal,Global South / other
Serbia and Montenegro,Serbia and Montenegro,Global South / other
Sierra Leone,Sierra Leone,Global South / other
Singapore,Singapore,Global South / other
Solomon Islands,Solomon Islands,Global South / other
Somalia,Somalia,Global South / other
South Africa,South Africa,Global South / other
Sri Lanka,Sri Lanka,Global South / other
Sudan and South Sudan,Sudan and South Sudan,Global South / other
Suriname,Suriname,Global South / other
Swaziland,Swaziland,Global South / other
Syria,Syria,Global South / other
Tanzania,Tanzania,Global South / other
Thailand,Thailand,Global South / other
Timor-Leste,Timor-Leste,Global South / other
Togo,Togo,Global South / other
Trinidad and Tobago,Trinidad and Tobago,Global South / other
Tunisia,Tunisia,Global South / other
Turkey,Turkey,Global South / other
Uganda,Uganda,Global South / other
Ukraine,Ukraine,Global South / other
Uruguay,Uruguay,Global South / other
Uzbekistan,Uzbekistan,Global South / other
Vanuatu,Vanuatu,Global South / other
Venezuela,Venezuela,Global South / other
Vietnam,Vietnam,Global South / other
Zambia,Zambia,Global South / other
Zimbabwe,Zimbabwe,Global South / other
